시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
용인시,202510,9012,44381,37970
용인시,202509,12260,23871,23898
용인시,202508,13776,23871,23898
용인시,202507,18029,38021,25540
용인시,202506,5911,20591,20400
용인시,202505,5017,20631,20814
용인시,202504,7724,20876,21005
용인시,202503,9102,20893,22183
용인시,202502,8505,20780,20276
용인시,202501,10224,29308,19949
용인시,202412,5876,12015,13857
용인시,202411,7233,14403,16957
용인시,202410,7796,15015,20495
용인시,202409,8057,25364,22852
용인시,202408,6577,23747,26583
용인시,202407,5942,26335,26593
용인시,202406,4708,27899,25574
용인시,202405,5638,23242,24015
용인시,202404,5488,19834,23621
용인시,202403,8903,17072,26135
용인시,202402,8204,31911,27177
용인시,202401,7163,13641,27593
의왕시,202604,1294,2560,3014
의왕시,202603,1303,2634,3752
의왕시,202602,1307,5252,3819
의왕시,202601,1508,3459,3708
의왕시,202512,1578,2747,3422
의왕시,202511,1510,3325,4148
의왕시,202510,1842,4581,3605
의왕시,202509,2370,4189,3586
의왕시,202508,2771,3048,2868
의왕시,202507,3563,3554,3141
의왕시,202506,1167,3328,3237
의왕시,202505,1201,3349,3325
의왕시,202504,1752,3349,3376
의왕시,202503,1873,3331,3533
의왕시,202502,1828,3280,3200
의왕시,202501,2082,4868,3562
의왕시,202412,1304,3325,3491
의왕시,202411,1335,3426,3661
의왕시,202410,1765,3040,3453
의왕시,202409,1965,4368,3208
의왕시,202408,1411,3173,2678
의왕시,202407,1231,3262,1012
의왕시,202406,906,3894,2503
의왕시,202405,990,2614,2989
의왕시,202404,1082,2621,2965
의왕시,202403,1196,2613,3100
의왕시,202402,1579,4405,2662
의왕시,202401,1249,2299,1717
의정부시,202604,2174,4558,4147
의정부시,202603,1689,4655,4373
의정부시,202602,1506,3543,3404
의정부시,202601,2158,3721,3604
의정부시,202512,2723,3547,3770
의정부시,202511,2059,3409,3897
의정부시,202510,2723,3115,3386
의정부시,202509,3770,3083,4157
의정부시,202508,4094,5140,4538
의정부시,202507,6902,7021,4356
의정부시,202506,1966,2840,2911
의정부시,202505,1683,2847,3077
의정부시,202504,2512,2894,3120
의정부시,202503,2568,2923,3435
